CustomMaterials: 自定义材质
AuctionFrame: 拍卖行框体
BattlefieldFrame: 战场队列框体
Buttons: 界面按钮
ClassTrainerFrame: 训练师框体
Common: 输入框/复选框等
DialogFrame: 对话框
FriendsFrame: 好友框体
FrameGeneral: 登录界面框体
Glues: 游戏登录界面
HelpFrame: 主菜单框体
ItemTextFrame: 物品文本框
Icons: 图标替换材质
KeyBindingFrame: 按键绑定框体
LFGFrame: 寻求组队框体
LootFrame: 拾取框
MacroFrame: 宏界面框体
MailFrame: 邮箱框体
MerchantFrame: 商人贩卖界面框体
MiniMap: 小地图框体
MoneyFrame: 金钱框体
PaperDollInfoFrame: 玩家界面各类框体
PetActionBar: 宠物动作条框体
PetPaperDollFrame: 宠物面板
PetStableFrame: 宠物技能界面框体
QuestFrame: 任务框体
RaidFrame: 团队框体
ShapeShiftBar: 姿态切换栏动作
SpellBook: 法术技能框体
Stationery: 暴雪官方信纸材质
TalentFrame: 天赋框体
TargetingFrame: 目标框体
TaxiFrame: 飞行地图框体
Tooltips: 界面/姓名板框体
TradeFrame: 交易框体
TradeSkillFrame: 商业技能框体
WorldMap: 世界地图材质
